command,code
initiate number x with value one point one,number x = 1.1
initiate number x with value one point two,number x = 1.2
initiate number x with value one point three,number x = 1.3
initiate number x with value one point four,number x = 1.4
initiate number x with value one point five,number x = 1.5
initiate number x with value two point one,number x = 2.1
initiate number x with value two point two,number x = 2.2
initiate number x with value two point three,number x = 2.3
initiate number x with value two point four,number x = 2.4
initiate number x with value two point five,number x = 2.5
initiate number x with value three point one,number x = 3.1
initiate number x with value three point two,number x = 3.2
initiate number x with value three point three,number x = 3.3
initiate number x with value three point four,number x = 3.4
initiate number x with value three point five,number x = 3.5
initiate number x with value four point one,number x = 4.1
initiate number x with value four point two,number x = 4.2
initiate number x with value four point three,number x = 4.3
initiate number x with value four point four,number x = 4.4
initiate number x with value four point five,number x = 4.5
initiate number x with value twenty point one,number x = 20.1
initiate number x with value twenty point two,number x = 20.2
initiate number x with value twenty point three,number x = 20.3
initiate number x with value twenty point four,number x = 20.4
initiate number x with value twenty point five,number x = 20.5
initiate number x with value twenty one point one,number x = 21.1
initiate number x with value twenty one point two,number x = 21.2
initiate number x with value twenty one point three,number x = 21.3
initiate number x with value twenty one point four,number x = 21.4
initiate number x with value twenty one point five,number x = 21.5
initiate number x with value twenty two point one,number x = 22.1
initiate number x with value twenty two point two,number x = 22.2
initiate number x with value twenty two point three,number x = 22.3
initiate number x with value twenty two point four,number x = 22.4
initiate number x with value twenty two point five,number x = 22.5
initiate number x with value twenty three point one,number x = 23.1
initiate number x with value twenty three point two,number x = 23.2
initiate number x with value twenty three point three,number x = 23.3
initiate number x with value twenty three point four,number x = 23.4
initiate number x with value twenty three point five,number x = 23.5
initiate number x with value twenty four point one,number x = 24.1
initiate number x with value twenty four point two,number x = 24.2
initiate number x with value twenty four point three,number x = 24.3
initiate number x with value twenty four point four,number x = 24.4
initiate number x with value twenty four point five,number x = 24.5
