command,code
initiate integer x with value one,integer x = 1
initiate integer x with value two,integer x = 2
initiate integer x with value three,integer x = 3
initiate integer x with value four,integer x = 4
initiate integer x with value five,integer x = 5
initiate integer x with value six,integer x = 6
initiate integer x with value seven,integer x = 7
initiate integer x with value eight,integer x = 8
initiate integer x with value nine,integer x = 9
initiate integer x with value ten,integer x = 10
initiate integer x with value eleven,integer x = 11
initiate integer x with value twelve,integer x = 12
initiate integer x with value thirteen,integer x = 13
initiate integer x with value fourteen,integer x = 14
initiate integer x with value fifteen,integer x = 15
initiate integer y with value one,integer y = 1
initiate integer y with value two,integer y = 2
initiate integer y with value three,integer y = 3
initiate integer y with value four,integer y = 4
initiate integer y with value five,integer y = 5
initiate integer y with value six,integer y = 6
initiate integer y with value seven,integer y = 7
initiate integer y with value eight,integer y = 8
initiate integer y with value nine,integer y = 9
initiate integer y with value ten,integer y = 10
initiate integer y with value eleven,integer y = 11
initiate integer y with value twelve,integer y = 12
initiate integer y with value thirteen,integer y = 13
initiate integer y with value fourteen,integer y = 14
initiate integer y with value fifteen,integer y = 15
initiate number x with value one,number x = 1.0
initiate number x with value two,number x = 2.0
initiate number x with value three,number x = 3.0
initiate number x with value four,number x = 4.0
initiate number x with value five,number x = 5.0
initiate number x with value six,number x = 6.0
initiate number x with value seven,number x = 7.0
initiate number x with value eight,number x = 8.0
initiate number x with value nine,number x = 9.0
initiate number x with value ten,number x = 10.0
initiate number x with value eleven,number x = 11.0
initiate number x with value twelve,number x = 12.0
initiate number x with value thirteen,number x = 13.0
initiate number x with value fourteen,number x = 14.0
initiate number x with value fifteen,number x = 15.0
initiate boolean x with value false,boolean = false
initiate boolean x with value true,boolean = true
initiate integer x with a random value,integer x = 1
initiate integer x with a random value,integer x = 2
initiate integer x with a random value,integer x = 3
initiate integer x with a random value,integer x = 4
initiate integer x with a random value,integer x = 5
initiate integer x with a random value,integer x = 6
initiate integer x with a random value,integer x = 7
initiate integer x with a random value,integer x = 8
initiate integer x with a random value,integer x = 9
initiate integer x with a random value,integer x = 10
declare and initiate integer x with a random value,integer x = 1
declare and initiate integer x with a random value,integer x = 2
declare and initiate integer x with a random value,integer x = 3
declare and initiate integer x with a random value,integer x = 4
declare and initiate integer x with a random value,integer x = 5
declare and initiate integer x with a random value,integer x = 6
declare and initiate integer x with a random value,integer x = 7
declare and initiate integer x with a random value,integer x = 8
declare and initiate integer x with a random value,integer x = 9
declare and initiate integer x with a random value,integer x = 10
