command,code
initiate string x with value hello,"text x = ""hello"""
initiate string x with value word,"text x = ""word"""
initiate string x with value dog,"text x = ""dog"""
initiate string x with value animal,"text x = ""animal"""
initiate string x with value house,"text x = ""house"""
initiate string x with value hello world,"text x = ""hello world"""
initiate string x with value animal cat,"text x = ""animal cat"""
initiate string x with value good luck,"text x = ""good luck"""
initiate string x with value x y,"text x = ""x y"""
initiate string x with value a b,"text x = ""a b"""
initiate string x with value hello world new,"text x = ""hello world new"""
initiate string x with value animal home cat,"text x = ""animal home cat"""
initiate string x with value very good luck ,"text x = ""very good luck"""
initiate string x with value x y z,"text x = ""x y z"""
initiate string x with value a b c,"text x = ""a b c"""
initiate text x with value hello,"text x = ""hello"""
initiate text x with value word,"text x = ""word"""
initiate text x with value dog,"text x = ""dog"""
initiate text x with value animal,"text x = ""animal"""
initiate text x with value house,"text x = ""house"""
initiate text x with value hello world,"text x = ""hello world"""
initiate text x with value animal cat,"text x = ""animal cat"""
initiate text x with value good luck,"text x = ""good luck"""
initiate text x with value x y,"text x = ""x y"""
initiate text x with value a b,"text x = ""a b"""
initiate text x with value hello world new,"text x = ""hello world new"""
initiate text x with value animal home cat,"text x = ""animal home cat"""
initiate text x with value very good luck ,"text x = ""very good luck"""
initiate text x with value x y z,"text x = ""x y z"""
initiate text x with value a b c,"text x = ""a b c"""
