command,code
initiate number x with value twenty,number x = 20.0
initiate number x with value twenty point one,number x = 20.1
initiate number x with value twenty point two,number x = 20.2
initiate number x with value twenty one,number x = 21.0
initiate number x with value twenty one point one,number x = 21.1
initiate number x with value twenty one point two,number x = 21.2
initiate number x with value twenty two,number x = 22.0
initiate number x with value twenty two point one,number x = 22.1
initiate number x with value twenty two point two,number x = 22.2
initiate number x with value thirty,number x = 30.0
initiate number x with value thirty point one,number x = 30.1
initiate number x with value thirty point two,number x = 30.2
initiate number x with value thirty one,number x = 31.0
initiate number x with value thirty one point one,number x = 31.1
initiate number x with value thirty one point two,number x = 31.2
initiate number x with value thirty two,number x = 32.0
initiate number x with value thirty two point one,number x = 32.1
initiate number x with value thirty two point two,number x = 32.2
initiate number x with value sixty,number x = 60.0
initiate number x with value sixty point one,number x = 60.1
initiate number x with value sixty point two,number x = 60.2
initiate number x with value sixty one,number x = 61.0
initiate number x with value sixty one point one,number x = 61.1
initiate number x with value sixty one point two,number x = 61.2
initiate number x with value sixty two,number x = 62.0
initiate number x with value sixty two point one,number x = 62.1
initiate number x with value sixty two point two,number x = 62.2
initiate number x with value ninety,number x = 90.0
initiate number x with value ninety point one,number x = 90.1
initiate number x with value ninety point two,number x = 90.2
initiate number x with value ninety one,number x = 91.0
initiate number x with value ninety one point one,number x = 91.1
initiate number x with value ninety one point two,number x = 91.2
initiate number x with value ninety two,number x = 92.0
initiate number x with value ninety two point one,number x = 92.1
initiate number x with value ninety two point two,number x = 92.2
