command,code
if x equals to one,if x = 1
if x equals to two,if x = 2
if x equals to three,if x = 3
if x equals to four,if x = 4
if x equals to five,if x = 5
if x equals to six,if x = 6
if x equals to seven,if x = 7
if x equals to eight,if x = 8
if x equals to nine,if x = 9
if x equals to ten,if x = 10
if x equals to eleven,if x = 11
if x equals to twelve,if x = 12
if x equals to thirteen,if x = 13
if x equals to fourteen,if x = 14
if x equals to fifteen,if x = 15
if y equals to one,if y = 1
if y equals to two,if y = 2
if y equals to three,if y = 3
if y equals to four,if y = 4
if y equals to five,if y = 5
if y equals to six,if y = 6
if y equals to seven,if y = 7
if y equals to eight,if y = 8
if y equals to nine,if y = 9
if y equals to ten,if y = 10
if y equals to eleven,if y = 11
if y equals to twelve,if y = 12
if y equals to thirteen,if y = 13
if y equals to fourteen,if y = 14
if y equals to fifteen,if y = 15
