command,code
print variable name,"output ""name"""
print variable dog,"output ""dog"""
print variable x,"output ""x"""
print variablehello world,"output ""hello world"""
print variablegood luck,"output ""good luck"""
print variable x y,"output ""x y"""
print variable all is well,"output ""all is well"""
print variable sky is blue,"output ""sky is blue"""
print variable x y z,"output ""x y z"""
print variable text name,"output ""name"""
print variable text dog,"output ""dog"""
print variable text x,"output ""x"""
print variable text hello world,"output ""hello world"""
print variable text good luck,"output ""good luck"""
print variable text x y,"output ""x y"""
print variable text all is well,"output ""all is well"""
print variable text sky is blue,"output ""sky is blue"""
print variable text x y z,"output ""x y z"""
print variable string name,"output ""name"""
print variable string dog,"output ""dog"""
print variable string x,"output ""x"""
print variable string hello world,"output ""hello world"""
print variable string good luck,"output ""good luck"""
print variable string x y,"output ""x y"""
print variable string all is well,"output ""all is well"""
print variable string sky is blue,"output ""sky is blue"""
print variable string x y z,"output ""x y z"""
output variable name,"output ""name"""
output variable dog,"output ""dog"""
output variable x,"output ""x"""
output variable hello world,"output ""hello world"""
output variable good luck,"output ""good luck"""
output variable x y,"output ""x y"""
output variable  all is well,"output ""all is well"""
output variable sky is blue,"output ""sky is blue"""
output variable x y z,"output ""x y z"""
output variable text name,"output ""name"""
output variable text dog,"output ""dog"""
output variable text x,"output ""x"""
output variable text hello world,"output ""hello world"""
output variable text good luck,"output ""good luck"""
output variable text x y,"output ""x y"""
output variable text all is well,"output ""all is well"""
output variable text sky is blue,"output ""sky is blue"""
output variable text x y z,"output ""x y z"""
output variable string name,"output ""name"""
output variable string dog,"output ""dog"""
output variable string x,"output ""x"""
output variable string hello world,"output ""hello world"""
output variable string good luck,"output ""good luck"""
output variable string x y,"output ""x y"""
output variable string all is well,"output ""all is well"""
output variable string sky is blue,"output ""sky is blue"""
output variable string x y z,"output ""x y z"""
