command,code
initiate number x with value one,number x = 1.0
initiate number x with value two,number x = 2.0
initiate number x with value three,number x = 3.0
initiate number x with value four,number x = 4.0
initiate number x with value five,number x = 5.0
initiate number x with value six,number x = 6.0
initiate number x with value seven,number x = 7.0
initiate number x with value eight,number x = 8.0
initiate number x with value nine,number x = 9.0
initiate number x with value ten,number x = 10.0
initiate number x with value eleven,number x = 11.0
initiate number x with value twelve,number x = 12.0
initiate number x with value thirteen,number x = 13.0
initiate number x with value fourteen,number x = 14.0
initiate number x with value fifteen,number x = 15.0
initiate number x with value sixteen,number x = 16.0
initiate number x with value seventeen,number x = 17.0
initiate number x with value eighteen,number x = 18.0
initiate number x with value nineteen,number x = 19.0
initiate number x with value twenty,number x = 20.0
initiate number y with value one,number y = 1.0
initiate number y with value two,number y = 2.0
initiate number y with value three,number y = 3.0
initiate number y with value four,number y = 4.0
initiate number y with value five,number y = 5.0
initiate number y with value six,number y = 6.0
initiate number y with value seven,number y = 7.0
initiate number y with value eight,number y = 8.0
initiate number y with value nine,number y = 9.0
initiate number y with value ten,number y = 10.0
initiate number y with value eleven,number y = 11.0
initiate number y with value twelve,number y = 12.0
initiate number y with value thirteen,number y = 13.0
initiate number y with value fourteen,number y = 14.0
initiate number y with value fifteen,number y = 15.0
initiate number y with value sixteen,number y = 16.0
initiate number y with value seventeen,number y = 17.0
initiate number y with value eighteen,number y = 18.0
initiate number y with value nineteen,number y = 19.0
initiate number y with value twenty,number y = 20.0
initiate number x with value twenty,number x = 20.0
initiate number x with value twenty one,number x = 21.0
initiate number x with value twenty two,number x = 22.0
initiate number x with value twenty three,number x = 23.0
initiate number x with value twenty four,number x = 24.0
initiate number x with value twenty five,number x = 25.0
initiate number x with value seventy,number x = 70.0
initiate number x with value seventy one,number x = 71.0
initiate number x with value seventy two,number x = 72.0
initiate number x with value seventy three,number x = 73.0
initiate number x with value seventy four,number x = 74.0
initiate number x with value seventy five,number x = 75.0
initiate number x with value hundred,number x = 100.0
initiate number x with value one hundred one,number x = 101.0
initiate number x with value one hundred two,number x = 102.0
initiate number x with value one hundred three,number x = 103.0
initiate number x with value one hundred four,number x = 104.0
initiate number x with value one hundred five,number x = 105.0
initiate number x with value one hundred ten,number x = 110.0
initiate number x with value one hundred eleven,number x = 111.0
initiate number x with value one hundred twelve,number x = 112.0
initiate number x with value one hundred fourteen,number x = 114.0
initiate number x with value one hundred twenty,number x = 120.0
initiate number x with value one hundred twenty one,number x = 121.0
initiate number x with value one hundred twenty two,number x = 122.0
initiate number x with value one hundred twenty three,number x = 123.0
initiate number x with value one hundred twenty four,number x = 124.0
initiate number x with value one hundred fifty,number x = 150.0
initiate number x with value one hundred seventy,number x = 170.0
initiate number x with value one hundred seventy one,number x = 171.0
initiate number x with value one hundred seventy two,number x = 172.0
initiate number x with value one hundred seventy three,number x = 173.0
initiate number x with value one hundred seventy four,number x = 174.0
initiate number x with value two hundred one,number x = 201.0
initiate number x with value two hundred two,number x = 202.0
initiate number x with value two hundred three,number x = 203.0
initiate number x with value two hundred four,number x = 204.0
initiate number x with value two hundred five,number x = 205.0
initiate number x with value two hundred ten,number x = 210.0
initiate number x with value two hundred eleven,number x = 211.0
initiate number x with value two hundred twelve,number x = 212.0
initiate number x with value two hundred thirteen,number x = 213.0
initiate number x with value two hundred fourteen,number x = 214.0
initiate number x with value two hundred twenty,number x = 220.0
initiate number x with value two hundred twenty one,number x = 221.0
initiate number x with value two hundred twenty two,number x = 222.0
initiate number x with value two hundred twenty three,number x = 223.0
initiate number x with value two hundred twenty four,number x = 224.0
initiate number x with value two hundred fifty,number x = 250.0
initiate number x with value two hundred seventy,number x = 270.0
initiate number x with value two hundred seventy one,number x = 271.0
initiate number x with value two hundred seventy two,number x = 272.0
initiate number x with value two hundred seventy three,number x = 273.0
initiate number x with value two hundred seventy four,number x = 274.0
initiate number x with value one hundred ten,number x = 110.0
initiate number x with value one hundred twenty,number x = 120.0
initiate number x with value one hundred thirty,number x = 130.0
initiate number x with value one hundred fifty,number x = 150.0
initiate number x with value one hundred seventy,number x = 170.0
initiate number x with value two hundred ten,number x = 210.0
initiate number x with value two hundred twenty,number x = 220.0
initiate number x with value two hundred thirty,number x = 230.0
initiate number x with value two hundred fifty,number x = 250.0
initiate number x with value two hundred seventy,number x = 270.0
