command,code
initiate integer x with value twenty one,integer x = 21
initiate number x with value twenty one,number x = 21.0
initiate text x with value twenty one,"text x = ""21"""
initiate string x with value twenty one,"text x = ""21"""
initiate number x with value twenty point one,number x = 20.1
initiate text x with value twenty point one,"text x = ""20.1"""
initiate string x with value twenty point one,"text x = ""20.1"""
initiate integer x with value twenty two,integer x = 22
initiate number x with value twenty two,number x = 22.0
initiate text x with value twenty two,"text x = ""22"""
initiate string x with value twenty two,"text x = ""22"""
initiate number x with value twenty point two,number x = 20.2
initiate text x with value twenty point two,"text x = ""20.2"""
initiate string x with value twenty point two,"text x = ""20.2"""
initiate integer x with value twenty three,integer x = 23
initiate number x with value twenty three,number x = 23.0
initiate text x with value twenty three,"text x = ""23"""
initiate string x with value twenty three,"text x = ""23"""
initiate number x with value twenty point three,number x = 20.3
initiate text x with value twenty point three,"text x = ""20.3"""
initiate string x with value twenty point three,"text x = ""20.3"""
initiate number x with value forty one,number x = 41.0
initiate text x with value forty one,"text x = ""41"""
initiate string x with value forty one,"text x = ""41"""
initiate number x with value forty point one,number x = 40.1
initiate text x with value forty point one,"text x = ""40.1"""
initiate string x with value forty point one,"text x = ""40.1"""
initiate integer x with value forty two,integer x = 42
initiate number x with value forty two,number x = 42.0
initiate text x with value forty two,"text x = ""42"""
initiate string x with value forty two,"text x = ""42"""
initiate number x with value forty point two,number x = 40.2
initiate text x with value forty point two,"text x = ""40.2"""
initiate string x with value forty point two,"text x = ""40.2"""
initiate integer x with value forty three,integer x = 43
initiate number x with value forty three,number x = 43.0
initiate text x with value forty three,"text x = ""43"""
initiate string x with value forty three,"text x = ""43"""
initiate number x with value forty point three,number x = 40.3
initiate text x with value forty point three,"text x = ""40.3"""
initiate string x with value forty point three,"text x = ""40.3"""
initiate number x with value seventy one,number x = 71.0
initiate text x with value seventy one,"text x = ""71"""
initiate string x with value seventy one,"text x = ""71"""
initiate number x with value seventy point one,number x = 70.1
initiate text x with value seventy point one,"text x = ""70.1"""
initiate string x with value seventy point one,"text x = ""70.1"""
initiate integer x with value seventy two,integer x = 72
initiate number x with value seventy two,number x = 72.0
initiate text x with value seventy two,"text x = ""72"""
initiate string x with value seventy two,"text x = ""72"""
initiate number x with value seventy point two,number x = 70.2
initiate text x with value seventy point two,"text x = ""70.2"""
initiate string x with value seventy point two,"text x = ""70.2"""
initiate integer x with value seventy three,integer x = 73
initiate number x with value seventy three,number x = 73.0
initiate text x with value seventy three,"text x = ""73"""
initiate string x with value seventy three,"text x = ""73"""
initiate number x with value seventy point three,number x = 70.3
initiate text x with value seventy point three,"text x = ""70.3"""
initiate string x with value seventy point three,"text x = ""70.3"""
