command,code
initiate number x with value one,number x = 1.0
initiate number x with value one point one,number x = 1.1
initiate number x with value one point two,number x = 1.2
initiate number x with value two,number x = 2.0
initiate number x with value two point one,number x = 2.1
initiate number x with value two point two,number x = 2.2
initiate number x with value three,number x = 3.0
initiate number x with value three point one,number x = 3.1
initiate number x with value three point two,number x = 3.2
initiate number x with value four,number x = 4.0
initiate number x with value four point one,number x = 4.1
initiate number x with value four point two,number x = 4.2
initiate number x with value five,number x = 5.0
initiate number x with value five point one,number x = 5.1
initiate number x with value five point two,number x = 5.2
initiate number x with value twenty,number x = 20.0
initiate number x with value twenty point one,number x = 20.1
initiate number x with value twenty point two,number x = 20.2
initiate number x with value twenty one,number x = 21.0
initiate number x with value twenty one point one,number x = 21.1
initiate number x with value twenty one point two,number x = 21.2
initiate number x with value twenty two,number x = 22.0
initiate number x with value twenty two point one,number x = 22.1
initiate number x with value twenty two point two,number x = 22.2
initiate number x with value twenty three,number x = 23.0
initiate number x with value twenty three point one,number x = 23.1
initiate number x with value twenty three point two,number x = 23.2
initiate number x with value twenty four,number x = 24.0
initiate number x with value twenty four point one,number x = 24.1
initiate number x with value twenty four point two,number x = 24.2
