command,code
initiate integer x with value one,integer x = 1
initiate number x with value one,number x = 1.0
initiate text x with value one,"text x =  ""1"""
initiate string x with value one,"text x =  ""1"""
initiate integer x with value two,integer x = 2
initiate number x with value two,number x = 2.0
initiate text x with value two,"text x =  ""2"""
initiate string x with value two,"text x =  ""2"""
initiate integer x with value three,integer x = 3
initiate number x with value three,number x = 3.0
initiate text x with value three,"text x =  ""3"""
initiate string x with value three,"text x =  ""3"""
initiate integer x with value four,integer x = 4
initiate number x with value four,number x = 4.0
initiate text x with value four,"text x =  ""4"""
initiate string x with value four,"text x =  ""4"""
initiate integer x with value five,integer x = 5
initiate number x with value five,number x = 5.0
initiate text x with value five,"text x =  ""5"""
initiate string x with value five,"text x =  ""5"""
initiate integer x with value six,integer x = 6
initiate number x with value six,number x = 6.0
initiate text x with value six,"text x =  ""6"""
initiate string x with value six,"text x =  ""6"""
initiate integer x with value seven,integer x = 7
initiate number x with value seven,number x = 7.0
initiate text x with value seven,"text x =  ""7"""
initiate string x with value seven,"text x =  ""7"""
initiate integer x with value eight,integer x = 8
initiate number x with value eight,number x = 8.0
initiate text x with value eight,"text x =  ""8"""
initiate string x with value eight,"text x =  ""8"""
initiate integer x with value nine,integer x = 9
initiate number x with value nine,number x = 9.0
initiate text x with value nine,"text x =  ""9"""
initiate string x with value nine,"text x =  ""9"""
initiate integer x with value ten,integer x = 10
initiate number x with value ten,number x = 10.0
initiate text x with value ten,"text x =  ""10"""
initiate string x with value ten,"text x =  ""10"""
