command,code
print variable name,output name
print variable dog,output dog
print variable x,output x
print variable hello world,output hello_world
print variable good luck,output good_luck
print variable x y,output x_y
print variable all is well,output all_is_well
print variable sky is blue,output sky_is blue
print variable x y z,output x_y_z
print variable text name,output name
print variable text dog,output dog
print variable text x,output x
print variable text hello world,output hello_world
print variable text good luck,output good_luck
print variable text x y,output x_y
print variable text all is well,output all_is_well
print variable text sky is blue,output sky_is blue
print variable text x y z,output x_y_z
print variable string name,output name
print variable string dog,output dog
print variable string x,output x
print variable string hello world,output hello_world
print variable string good luck,output good_luck
print variable string x y,output x_y
print variable string all is well,output all_is_well
print variable string sky is blue,output sky_is blue
print variable string x y z,output x_y_z
output variable name,output name
output variable dog,output dog
output variable x,output x
output variable hello world,output hello_world
output variable good luck,output good_luck
output variable x y,output x_y
output variable  all is well,output all_is_well
output variable sky is blue,output sky_is blue
output variable x y z,output x_y_z
output variable text name,output name
output variable text dog,output dog
output variable text x,output x
output variable text hello world,output hello_world
output variable text good luck,output good_luck
output variable text x y,output x_y
output variable text all is well,output all_is_well
output variable text sky is blue,output sky_is blue
output variable text x y z,output x_y_z
output variable string name,output name
output variable string dog,output dog
output variable string x,output x
output variable string hello world,output hello_world
output variable string good luck,output good_luck
output variable string x y,output x_y
output variable string all is well,output all_is_well
output variable string sky is blue,output sky_is blue
output variable string x y z,output x_y_z
