command,code
initiate number x with value one,number x = 1.0
initiate number x with value one point one,number x = 1.1
initiate number x with value one point two,number x = 1.2
initiate number x with value two,number x = 2.0
initiate number x with value two point one,number x = 2.1
initiate number x with value two point two,number x = 2.2
initiate number hello with value one,number hello = 1.0
initiate number hello with value one point one,number hello = 1.1
initiate number hello with value one point two,number hello = 1.2
initiate number hello with value two,number hello = 2.0
initiate number hello with value two point one,number hello = 2.1
initiate number hello with value two point two,number hello = 2.2
initiate number hello name with value one,number hello_name = 1.0
initiate number hello name with value one point one,number hello_name = 1.1
initiate number hello name with value one point two,number hello_name = 1.2
initiate number hello name with value two,number hello_name = 2.0
initiate number hello name with value two point one,number hello_name = 2.1
initiate number hello name with value two point two,number hello_name = 2.2
initiate number hello name count with value one,number hello_name_count = 1.0
initiate number hello name count with value one point one,number hello_name_count = 1.1
initiate number hello name count with value one point two,number hello_name_count = 1.2
initiate number hello name count with value two,number hello_name_count = 2.0
initiate number hello name count with value two point one,number hello_name_count = 2.1
initiate number hello name count with value two point two,number hello_name_count = 2.2
initiate number x with value twenty,number x = 20.0
initiate number x with value twenty point one,number x = 20.1
initiate number x with value twenty point two,number x = 20.2
initiate number x with value twenty one,number x = 21.0
initiate number x with value twenty one point one,number x = 21.1
initiate number x with value twenty one point two,number x = 21.2
initiate number hello with value twenty,number hello = 20.0
initiate number hello with value twenty point one,number hello = 20.1
initiate number hello with value twenty point two,number hello = 20.2
initiate number hello with value twenty one,number hello = 21.0
initiate number hello with value twenty one point one,number hello = 21.1
initiate number hello with value twenty one point two,number hello = 21.2
initiate number total distance with value twenty,number total_distance = 20.0
initiate number total distance with value twenty point one,number total_distance = 20.1
initiate number total distance with value twenty point two,number total_distance = 20.2
initiate number total distance with value twenty one,number total_distance = 21.0
initiate number total distance with value twenty one point one,number total_distance = 21.1
initiate number total distance with value twenty one point two,number total_distance = 21.2
initiate number total distance count with value twenty,number total_distance_count = 20.0
initiate number total distance count with value twenty point one,number total_distance_count = 20.1
initiate number total distance count with value twenty point two,number total_distance_count = 20.2
initiate number total distance count with value twenty one,number total_distance_count = 21.0
initiate number total distance count with value twenty one point one,number total_distance_count = 21.1
initiate number total distance count with value twenty one point two,number total_distance_count = 21.2
