command,code
initiate integer x with value one hundred,integer x = 100
initiate integer x with value one hundred one,integer x = 101
initiate integer x with value one hundred two,integer x = 102
initiate integer x with value one hundred three,integer x = 103
initiate integer x with value one hundred four,integer x = 104
initiate integer x with value one hundred five,integer x = 105
initiate integer x with value one hundred ten,integer x = 110
initiate integer x with value one hundred eleven,integer x = 111
initiate integer x with value one hundred twelve,integer x = 112
initiate integer x with value one hundred fourteen,integer x = 114
initiate integer x with value one hundred twenty,integer x = 120
initiate integer x with value one hundred twenty one,integer x = 121
initiate integer x with value one hundred twenty two,integer x = 122
initiate integer x with value one hundred twenty three,integer x = 123
initiate integer x with value one hundred twenty four,integer x = 124
initiate integer x with value one hundred fifty,integer x = 150
initiate integer x with value one hundred seventy,integer x = 170
initiate integer x with value one hundred seventy one,integer x = 171
initiate integer x with value one hundred seventy two,integer x = 172
initiate integer x with value one hundred seventy three,integer x = 173
initiate integer x with value one hundred seventy four,integer x = 174
initiate integer x with value two hundred one,integer x = 201
initiate integer x with value two hundred two,integer x = 202
initiate integer x with value two hundred three,integer x = 203
initiate integer x with value two hundred four,integer x = 204
initiate integer x with value two hundred five,integer x = 205
initiate integer x with value two hundred ten,integer x = 210
initiate integer x with value two hundred eleven,integer x = 211
initiate integer x with value two hundred twelve,integer x = 212
initiate integer x with value two hundred thirteen,integer x = 213
initiate integer x with value two hundred fourteen,integer x = 214
initiate integer x with value two hundred twenty,integer x = 220
initiate integer x with value two hundred twenty one,integer x = 221
initiate integer x with value two hundred twenty two,integer x = 222
initiate integer x with value two hundred twenty three,integer x = 223
initiate integer x with value two hundred twenty four,integer x = 224
initiate integer x with value two hundred fifty,integer x = 250
initiate integer x with value two hundred seventy,integer x = 270
initiate integer x with value two hundred seventy one,integer x = 271
initiate integer x with value two hundred seventy two,integer x = 272
initiate integer x with value two hundred seventy three,integer x = 273
initiate integer x with value two hundred seventy four,integer x = 274
initiate integer x with value one hundred,integer x = 100
initiate integer x with value one hundred ten,integer x = 110
initiate integer x with value one hundred twenty,integer x = 120
initiate integer x with value one hundred thirty,integer x = 130
initiate integer x with value one hundred fifty,integer x = 150
initiate integer x with value one hundred seventy,integer x = 170
initiate integer x with value two hundred ten,integer x = 210
initiate integer x with value two hundred twenty,integer x = 220
initiate integer x with value two hundred thirty,integer x = 230
initiate integer x with value two hundred fifty,integer x = 250
initiate integer x with value two hundred seventy,integer x = 270
