command,code
initiate integer x with value twenty one ,integer x = 21
initiate integer x with value twenty two ,integer x = 22
initiate integer x with value twenty three ,integer x = 23
initiate integer x with value twenty four ,integer x = 24
initiate integer x with value twenty five ,integer x = 25
initiate integer x with value seventy one ,integer x = 71
initiate integer x with value seventy two ,integer x = 72
initiate integer x with value seventy three ,integer x = 73
initiate integer x with value seventy four ,integer x = 74
initiate integer x with value seventy five ,integer x = 75
initiate integer x with value one hundred one,integer x = 101
initiate integer x with value one hundred two,integer x = 102
initiate integer x with value one hundred three,integer x = 103
initiate integer x with value one hundred four,integer x = 104
initiate integer x with value one hundred five,integer x = 105
initiate integer x with value two hundred one,integer x = 201
initiate integer x with value two hundred two,integer x = 202
initiate integer x with value two hundred three,integer x = 203
initiate integer x with value two hundred four,integer x = 204
initiate integer x with value two hundred five,integer x = 205
